Epoch: 4/60 Setp: 750, ranking_loss: 5.94, id_loss: 11.89
Epoch: 4/60 Setp: 800, ranking_loss: 8.50, id_loss: 12.13
Epoch: 4/60 Setp: 850, ranking_loss: 7.10, id_loss: 11.73
Epoch: 4/60 Setp: 900, ranking_loss: 9.82, id_loss: 13.51
Epoch: 4/60 Setp: 950, ranking_loss: 7.88, id_loss: 11.79
Epoch: 4/60 Setp: 1000, ranking_loss: 6.18, id_loss: 12.40
Epoch: 4/60 Setp: 1050, ranking_loss: 8.67, id_loss: 12.29
Epoch: 4/60 , ranking_loss: 8.23, id_loss: 12.52
lr:0.001
lr:0.0001
Epoch: 5/60 Setp: 50, ranking_loss: 6.96, id_loss: 10.10
Epoch: 5/60 Setp: 100, ranking_loss: 6.74, id_loss: 8.66
Epoch: 5/60 Setp: 150, ranking_loss: 7.00, id_loss: 9.14
Epoch: 5/60 Setp: 200, ranking_loss: 7.49, id_loss: 10.28
Epoch: 5/60 Setp: 250, ranking_loss: 7.18, id_loss: 10.21
Epoch: 5/60 Setp: 300, ranking_loss: 7.00, id_loss: 11.42
Epoch: 5/60 Setp: 350, ranking_loss: 8.29, id_loss: 10.10
Epoch: 5/60 Setp: 400, ranking_loss: 7.86, id_loss: 11.29
Epoch: 5/60 Setp: 450, ranking_loss: 7.01, id_loss: 9.20
Epoch: 5/60 Setp: 500, ranking_loss: 6.77, id_loss: 9.88
Epoch: 5/60 Setp: 550, ranking_loss: 7.47, id_loss: 10.81
Epoch: 5/60 Setp: 600, ranking_loss: 8.38, id_loss: 10.51
Epoch: 5/60 Setp: 650, ranking_loss: 7.96, id_loss: 10.57
Epoch: 5/60 Setp: 700, ranking_loss: 5.52, id_loss: 9.42
Epoch: 5/60 Setp: 750, ranking_loss: 6.70, id_loss: 10.39
Epoch: 5/60 Setp: 800, ranking_loss: 6.76, id_loss: 10.94
Epoch: 5/60 Setp: 850, ranking_loss: 7.07, id_loss: 10.62
Epoch: 5/60 Setp: 900, ranking_loss: 6.24, id_loss: 11.05
Epoch: 5/60 Setp: 950, ranking_loss: 6.01, id_loss: 11.37
Epoch: 5/60 Setp: 1000, ranking_loss: 7.78, id_loss: 11.14
Epoch: 5/60 Setp: 1050, ranking_loss: 6.79, id_loss: 11.33
Epoch: 5/60 , ranking_loss: 7.24, id_loss: 10.54
lr:0.001
lr:0.0001
Epoch: 6/60 Setp: 50, ranking_loss: 9.25, id_loss: 8.65
Epoch: 6/60 Setp: 100, ranking_loss: 8.09, id_loss: 8.14
Epoch: 6/60 Setp: 150, ranking_loss: 5.71, id_loss: 7.69
Epoch: 6/60 Setp: 200, ranking_loss: 7.97, id_loss: 8.53
Epoch: 6/60 Setp: 250, ranking_loss: 4.97, id_loss: 7.47
Epoch: 6/60 Setp: 300, ranking_loss: 6.43, id_loss: 8.51
Epoch: 6/60 Setp: 350, ranking_loss: 5.98, id_loss: 8.19
Epoch: 6/60 Setp: 400, ranking_loss: 6.47, id_loss: 8.68
Epoch: 6/60 Setp: 450, ranking_loss: 6.22, id_loss: 8.27
Epoch: 6/60 Setp: 500, ranking_loss: 6.77, id_loss: 7.62
Epoch: 6/60 Setp: 550, ranking_loss: 8.24, id_loss: 9.24
Epoch: 6/60 Setp: 600, ranking_loss: 5.56, id_loss: 7.51
Epoch: 6/60 Setp: 650, ranking_loss: 7.19, id_loss: 9.64
Epoch: 6/60 Setp: 700, ranking_loss: 8.99, id_loss: 10.15
Epoch: 6/60 Setp: 750, ranking_loss: 7.85, id_loss: 10.06
Epoch: 6/60 Setp: 800, ranking_loss: 6.16, id_loss: 9.84
Epoch: 6/60 Setp: 850, ranking_loss: 6.48, id_loss: 9.48
